bundle_id,stage,bundle_class,primary_sources,data_class_mix,persistent_store,target_status,notes
tokenizer_v1,pretrain,tokenizer_text,arxiv_source_pdf|pmc_oa_pdf_xml|pubtables_1m|scitsr|crohme|mathwriting|im2latex_100k,exact_plus_trusted_aux,hf_dataset_repo,planned,tokenizer corpus for Markdown and LaTeX
p1_text_warmup_v1,pretrain,text_only_warmup,arxiv_source_pdf|pmc_oa_pdf_xml,exact_text,hf_dataset_repo,planned,text warmup for writer decoder
p2_exact_core_v1,pretrain,multimodal_exact,arxiv_source_pdf|pmc_oa_pdf_xml,gold_exact_plus_silver_exact,hf_dataset_repo,planned,core parsing pretraining bundle
p2_structural_aux_v1,pretrain,structural_aux,publaynet|doclaynet|pubtables_1m|scitsr|crohme|mathwriting|im2latex_100k,trusted_aux,hf_dataset_repo,planned,injects explicit structure pressure
p3_hardcases_v1,pretrain,robustness_and_long_tail,synthetic_from_exact|iam|bentham|read_2016|funsd|cord|sroie|chartqa|plotqa,synthetic_exact_plus_trusted_aux,hf_dataset_repo,planned,core long-tail robustness bundle
sft_core_v1,finetune,high_precision_exact,approved_exact_full_page_targets,gold_exact_plus_selected_silver,hf_dataset_repo,planned,high-quality supervised finetuning
f0_general_sft_v1,finetune,general_exact_sft,arxiv_source_pdf|pmc_oa_pdf_xml|approved_exact_full_page_targets,gold_exact_plus_selected_silver,hf_dataset_repo,planned,clean canonical-output tuning pool
f1_specialist_sft_v1,finetune,specialist_sft,pubtables_1m|scitsr|crohme|mathwriting|im2latex_100k|iam|bentham|read_2016|funsd|cord|sroie|chartqa|plotqa|synthetic_from_exact,exact_plus_synthetic_plus_trusted_aux,hf_dataset_repo,planned,specialist long-tail tuning pool
sft_repair_v1,finetune,repair_and_failure_slices,synthetic_from_exact|model_failures_plus_exact_truth,synthetic_exact_plus_gold_exact,hf_dataset_repo,planned,targets final brittle slices
f2_repair_sft_v1,finetune,repair_and_failure_slices,model_failures_plus_exact_truth,synthetic_exact_plus_gold_exact,hf_dataset_repo,planned,local repair tuning pool
f3_rlvr_v1,finetune,rlvr_prompt_pack,sft_and_repair_prompt_packs,exact_plus_synthetic_plus_trusted_aux,hf_dataset_repo,planned,compact objective-reward RL packs
o_calibration_docmix_v1,optimization,calibration_docmix,approved_exact_full_page_targets|pubtables_1m|scitsr|crohme|mathwriting|iam|chartqa|plotqa,exact_plus_trusted_aux,hf_dataset_repo,planned,bounded leakage-safe calibration mix for post-training optimization
internal_holdout_v1,holdout,release_control,curated_non_overlap_holdouts,holdout_only,hf_dataset_repo,planned,release gating and regression control
